row_type,group,scenario,role,metric_name,metric_label,count,median_seconds,mean_seconds,min_seconds,max_seconds,stdev_seconds,baseline_median_seconds,optimized_median_seconds,difference_seconds,relative_change_pct,is_bottleneck,run_id,shard_count,critical_path_seconds,average_shard_seconds,fastest_shard_seconds,slowest_shard_seconds,spread_seconds,imbalance_ratio,baseline_ratio,optimized_ratio,difference_ratio
scenario_stat,dependency_cache,dependency_baseline,baseline,dependency_prepare_duration_ms,Dependency preparation,10,2.6515,3.003,1.996,5.303,0.94093,,,,,,,,,,,,,,,,
scenario_stat,dependency_cache,dependency_baseline,baseline,services_start_duration_ms,Services start,10,10.993,12.2536,9.567,25.784,4.798759,,,,,,,,,,,,,,,,
scenario_stat,dependency_cache,dependency_baseline,baseline,migration_duration_ms,Database migrations,10,4.3765,4.4049,3.844,5.15,0.385119,,,,,,,,,,,,,,,,
scenario_stat,dependency_cache,dependency_baseline,baseline,test_duration_ms,Tests,10,37.689,36.9877,30.835,40.175,2.573115,,,,,,,,,,,,,,,,
scenario_stat,dependency_cache,dependency_baseline,baseline,measured_total_duration_ms,Measured total,10,56.02,56.6492,53.267,63.447,2.998796,,,,,,,,,,,,,,,,
scenario_stat,dependency_cache,dependency_cache,optimized,dependency_prepare_duration_ms,Dependency preparation,10,2.224,2.2339,1.762,2.867,0.330723,,,,,,,,,,,,,,,,
scenario_stat,dependency_cache,dependency_cache,optimized,services_start_duration_ms,Services start,10,10.7865,10.7431,9.83,11.374,0.481452,,,,,,,,,,,,,,,,
scenario_stat,dependency_cache,dependency_cache,optimized,migration_duration_ms,Database migrations,10,4.1615,4.1492,3.87,4.361,0.169136,,,,,,,,,,,,,,,,
scenario_stat,dependency_cache,dependency_cache,optimized,test_duration_ms,Tests,10,36.203,36.6038,35.514,40.087,1.368079,,,,,,,,,,,,,,,,
scenario_stat,dependency_cache,dependency_cache,optimized,measured_total_duration_ms,Measured total,10,53.8255,53.73,52.345,56.291,1.222748,,,,,,,,,,,,,,,,
scenario_stat,docker_build_cache,docker_baseline,baseline,services_start_duration_ms,Services start,10,27.5,27.7,27.0,29.0,0.823273,,,,,,,,,,,,,,,,
scenario_stat,docker_build_cache,docker_baseline,baseline,measured_total_duration_ms,Measured total,10,137.0,137.4,123.0,151.0,6.834553,,,,,,,,,,,,,,,,
scenario_stat,docker_build_cache,docker_baseline,baseline,docker_build_duration_ms,Docker build,10,110.0,109.7,95.0,123.0,6.766749,,,,,,,,,,,,,,,,
scenario_stat,docker_build_cache,docker_baseline,baseline,backend_healthcheck_duration_ms,Backend healthcheck,10,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
scenario_stat,docker_build_cache,docker_baseline,baseline,frontend_healthcheck_duration_ms,Frontend healthcheck,10,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
scenario_stat,docker_build_cache,docker_cache_fixed,optimized,services_start_duration_ms,Services start,10,30.0,30.0,28.0,32.0,1.333333,,,,,,,,,,,,,,,,
scenario_stat,docker_build_cache,docker_cache_fixed,optimized,measured_total_duration_ms,Measured total,10,77.5,80.1,71.0,93.0,7.752419,,,,,,,,,,,,,,,,
scenario_stat,docker_build_cache,docker_cache_fixed,optimized,docker_build_duration_ms,Docker build,10,47.5,50.0,42.0,63.0,7.149204,,,,,,,,,,,,,,,,
scenario_stat,docker_build_cache,docker_cache_fixed,optimized,backend_healthcheck_duration_ms,Backend healthcheck,10,0.0,0.1,0.0,1.0,0.316228,,,,,,,,,,,,,,,,
scenario_stat,docker_build_cache,docker_cache_fixed,optimized,frontend_healthcheck_duration_ms,Frontend healthcheck,10,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
scenario_stat,docker_build_cache,docker_cache_first,diagnostic,services_start_duration_ms,Services start,10,71.0,70.1,61.0,73.0,3.573047,,,,,,,,,,,,,,,,
scenario_stat,docker_build_cache,docker_cache_first,diagnostic,measured_total_duration_ms,Measured total,10,124.5,133.5,117.0,220.0,30.837387,,,,,,,,,,,,,,,,
scenario_stat,docker_build_cache,docker_cache_first,diagnostic,docker_build_duration_ms,Docker build,10,53.5,63.4,48.0,159.0,33.876245,,,,,,,,,,,,,,,,
scenario_stat,docker_build_cache,docker_cache_first,diagnostic,backend_healthcheck_duration_ms,Backend healthcheck,10,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
scenario_stat,docker_build_cache,docker_cache_first,diagnostic,frontend_healthcheck_duration_ms,Frontend healthcheck,10,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
scenario_stat,docker_build_cache,docker_cache_cold,diagnostic,services_start_duration_ms,Services start,1,59.0,59.0,59.0,59.0,0.0,,,,,,,,,,,,,,,,
scenario_stat,docker_build_cache,docker_cache_cold,diagnostic,measured_total_duration_ms,Measured total,1,262.0,262.0,262.0,262.0,0.0,,,,,,,,,,,,,,,,
scenario_stat,docker_build_cache,docker_cache_cold,diagnostic,docker_build_duration_ms,Docker build,1,203.0,203.0,203.0,203.0,0.0,,,,,,,,,,,,,,,,
scenario_stat,docker_build_cache,docker_cache_cold,diagnostic,backend_healthcheck_duration_ms,Backend healthcheck,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
scenario_stat,docker_build_cache,docker_cache_cold,diagnostic,frontend_healthcheck_duration_ms,Frontend healthcheck,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
scenario_stat,sharding_original,sharding_baseline_original,baseline,shard_duration_ms,Shard duration,20,6.9955,7.04805,5.383,9.019,0.950498,,,,,,,,,,,,,,,,
scenario_stat,sharding_original,sharding_timing_original,optimized,shard_duration_ms,Shard duration,20,7.181,7.11815,6.147,8.48,0.819401,,,,,,,,,,,,,,,,
scenario_stat,sharding_extended,sharding_baseline_extended,baseline,shard_duration_ms,Shard duration,40,10.852,10.764625,7.967,13.745,1.553814,,,,,,,,,,,,,,,,
scenario_stat,sharding_extended,sharding_timing_extended,optimized,shard_duration_ms,Shard duration,40,11.044,10.782125,8.716,12.25,0.951696,,,,,,,,,,,,,,,,
comparison,dependency_cache,,,dependency_prepare_duration_ms,Dependency preparation,,,,,,,2.6515,2.224,-0.4275,-16.122949,,,,,,,,,,,,
comparison,dependency_cache,,,services_start_duration_ms,Services start,,,,,,,10.993,10.7865,-0.2065,-1.878468,,,,,,,,,,,,
comparison,dependency_cache,,,migration_duration_ms,Database migrations,,,,,,,4.3765,4.1615,-0.215,-4.912601,,,,,,,,,,,,
comparison,dependency_cache,,,test_duration_ms,Tests,,,,,,,37.689,36.203,-1.486,-3.942795,,,,,,,,,,,,
comparison,dependency_cache,,,measured_total_duration_ms,Measured total,,,,,,,56.02,53.8255,-2.1945,-3.917351,,,,,,,,,,,,
comparison,docker_build_cache,,,services_start_duration_ms,Services start,,,,,,,27.5,30.0,2.5,9.090909,,,,,,,,,,,,
comparison,docker_build_cache,,,measured_total_duration_ms,Measured total,,,,,,,137.0,77.5,-59.5,-43.430657,,,,,,,,,,,,
comparison,docker_build_cache,,,docker_build_duration_ms,Docker build,,,,,,,110.0,47.5,-62.5,-56.818182,,,,,,,,,,,,
comparison,docker_build_cache,,,backend_healthcheck_duration_ms,Backend healthcheck,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,
comparison,docker_build_cache,,,frontend_healthcheck_duration_ms,Frontend healthcheck,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,
comparison,sharding_original,,,shard_duration_ms,Shard duration,,,,,,,6.9955,7.181,0.1855,2.651705,,,,,,,,,,,,
comparison,sharding_extended,,,shard_duration_ms,Shard duration,,,,,,,10.852,11.044,0.192,1.769259,,,,,,,,,,,,
bottleneck,dependency_cache,dependency_baseline,baseline,test_duration_ms,Tests,10,37.689,36.9877,30.835,40.175,2.573115,,,,,true,,,,,,,,,,,
bottleneck,dependency_cache,dependency_cache,optimized,test_duration_ms,Tests,10,36.203,36.6038,35.514,40.087,1.368079,,,,,true,,,,,,,,,,,
bottleneck,docker_build_cache,docker_baseline,baseline,docker_build_duration_ms,Docker build,10,110.0,109.7,95.0,123.0,6.766749,,,,,true,,,,,,,,,,,
bottleneck,docker_build_cache,docker_cache_fixed,optimized,docker_build_duration_ms,Docker build,10,47.5,50.0,42.0,63.0,7.149204,,,,,true,,,,,,,,,,,
bottleneck,docker_build_cache,docker_cache_first,diagnostic,services_start_duration_ms,Services start,10,71.0,70.1,61.0,73.0,3.573047,,,,,true,,,,,,,,,,,
bottleneck,docker_build_cache,docker_cache_cold,diagnostic,docker_build_duration_ms,Docker build,1,203.0,203.0,203.0,203.0,0.0,,,,,true,,,,,,,,,,,
sharding_run,sharding_original,sharding_baseline_original,baseline,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_01,2,7.462,6.869,6.276,7.462,1.186,1.08633,,,
sharding_run,sharding_original,sharding_baseline_original,baseline,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_02,2,7.5,6.871,6.242,7.5,1.258,1.091544,,,
sharding_run,sharding_original,sharding_baseline_original,baseline,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_03,2,8.097,7.164,6.231,8.097,1.866,1.130235,,,
sharding_run,sharding_original,sharding_baseline_original,baseline,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_04,2,7.452,7.0605,6.669,7.452,0.783,1.055449,,,
sharding_run,sharding_original,sharding_baseline_original,baseline,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_05,2,7.731,6.557,5.383,7.731,2.348,1.179045,,,
sharding_run,sharding_original,sharding_baseline_original,baseline,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_06,2,8.166,7.1745,6.183,8.166,1.983,1.138198,,,
sharding_run,sharding_original,sharding_baseline_original,baseline,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_07,2,8.246,7.356,6.466,8.246,1.78,1.12099,,,
sharding_run,sharding_original,sharding_baseline_original,baseline,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_08,2,9.019,7.52,6.021,9.019,2.998,1.199335,,,
sharding_run,sharding_original,sharding_baseline_original,baseline,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_09,2,7.757,7.112,6.467,7.757,1.29,1.090692,,,
sharding_run,sharding_original,sharding_baseline_original,baseline,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_10,2,7.322,6.7965,6.271,7.322,1.051,1.077319,,,
sharding_run,sharding_original,sharding_timing_original,optimized,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_01,2,7.744,6.985,6.226,7.744,1.518,1.108661,,,
sharding_run,sharding_original,sharding_timing_original,optimized,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_02,2,7.848,7.2555,6.663,7.848,1.185,1.081662,,,
sharding_run,sharding_original,sharding_timing_original,optimized,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_03,2,7.659,7.0085,6.358,7.659,1.301,1.092816,,,
sharding_run,sharding_original,sharding_timing_original,optimized,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_04,2,7.561,7.2125,6.864,7.561,0.697,1.048319,,,
sharding_run,sharding_original,sharding_timing_original,optimized,sharding_run_metrics,Sharding run metrics,,,,,,,,,,,,run_05,2,7.498,6.994,6.49,7.498,1.008,1.072062,,,
